Host/Router,Destination,Next Hop
H1,10.0.0.5,H2
H1,10.0.0.6,H2
H2,10.0.0.5,H3
H2,10.0.0.6,H4
H3,10.0.0.5,H5
H3,10.0.0.6,H6
H4,10.0.0.5,H5
H4,10.0.0.6,H6
H1,10.0.0.19,H5
H5,10.0.0.19,H7
H7,10.0.0.19,H15
H15,10.0.0.19,H18
H18,10.0.0.19,H23
H23,10.0.0.19,H19
H1,10.0.0.27,H6
H6,10.0.0.27,H10
H10,10.0.0.27,H17
H17,10.0.0.27,H24
H24,10.0.0.27,H27
